"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"1",236,202,126,85,79,94,113,116,105,108,106,105,106,111,124,118,119,124,115,127,128,132,141,156
"2",154,166,169,155,141,155,158,140,83,94,106,102,104,100,98,106,139,183,133,98,91,100,122,125
"3",115,110,115,114,110,108,110,102,94,80,90,94,66,46,44,47,47,54,69,70,72,77,95,118
"4",108,151,139,77,43,34,43,40,31,27,32,22,33,25,10,13,10,12,23,27,23,32,36,66
"5",55,36,26,17,12,11,14,12,16,17,21,32,27,24,20,28,31,42,63,83,116,100,93,54.4872975991066
"6",63,50,54,60,85,65,37,36,35,36,30,18,19,23,27,25,31,38,90,64,74,85,80,84
"7",115,91,54,33,22,15,13,17,22,31,25,44,42,48,48,44,55,76,94,109,138,131,104,90
"8",91,90,49,52,36,17,15,17,25,34,34,31,27,21,25,33,40,43,48,55,66,84,83,114
"9",124,124,143,132,124,144,160,210,226,224,235,176,137,101,63,89,81,94,60,68,64,74,86,90
"10",114,123,118,65,28,23,18,14,16,20,19,22,25,28,21,19,12,27,90,102,72,236,166,156
"11",273,277,191,104,71,44,31,27,29,24,19,18,17,18,16,17,17,11,15,45,70,118,158,180
"12",194,163,147,165,176,151,59,95,194,153,22,32,21,20,12,16,25,31,48,74,82,114,119,110
"13",84,84,89,80,56,32,25,20,28,35,29,14,18,17,18,13,18,24,26,44,124,102,113,110
"14",131,131,138,155,158,149,155,174,194,232,383,275,85,60,39,40,39,52,60,67,70,204,201,197
"15",184,140,145,148,146,133,123,121,115,122,120,123,120,101,75,95,102,102,96,138,157,133,124,148
"16",149,150,129,112,110,108,108,124,135,131,120,143,130,123,84,114,91,102,97,93,106,97,131,126
"17",121,108,108,100,90,83,81,72,53,45,50,38,26,21,27,23,26,37,34,35,32,26,23,22
"18",27,23,16,23,23,20,27,26,35,51,43,18,20,15,11,9,10,14,22,37,43,31,28,21
"19",33,41,39,46,39,36,39,43,47,62,61,42,27,24,26,17,14,16,22,36,39,43,72,68
"20",74,77,87,92,92,114,137,159,221,180,144,105,63,27,29,26,29,40,64,146,155,157,54.4872975991066,231
"21",173,158,168,162,152,166,192,206,239,199,218,112,69,38,35,45,45,80,84,95,92,98,111,109
"22",106,100,108,125,117,122,127,109,71,61,47,53,32,31,24,13,9,10,15,15,13,13,17,19
"23",18,14,9,9,9,8,10,15,20,23,17,16,20,17,18,19,17,23,33,30,31,41,42,44
"24",39,23,18,12,10,10,15,21,25,44,41,57,59,58,50,40,45,56,59,73,79,74,95,165
"25",160,163,171,175,175,157,170,190,208,187,168,96,90,58,41,42,48,38,41,48,48,56,54,54
"26",66,67,78,102,106,109,167,243,290,329,128,57,39,26,21,15,22,30,35,40,53,61,85,89
"27",100,99,80,82,87,93,99,93,169,185,101,108,69,48,42,33,24,33,46,50,50,57,58,90
"28",190,165,145,140,129,128,106,111,125,182,174,174,160,156,139,129,100,47,39,36,41,46,56,61
"29",59,53,54,53,60,60,63,74,79,75,61,52,39,33,30,20,24,20,18,18,25,32,41,55
"30",57,59,56,61,71,78,70,65,91,56,26,23,22,31,30,19,13,13,18,80,54.4872975991066,145,140,177
"31",163,139,134,137,136,128,148,149,183,164,52,33,17,15,20,15,11,11,42,53,38,102,125,148
"32",175,144,123,133,156,155,189,197,201,205,203,115,70,43,16,17,17,23,28,41,63,81,92,205
"33",165,170,138,114,119,165,163,185,206,256,176,257,256,85,55,54,54,51,41,65,135,233,272,273
"34",206,178,181,190,182,171,202,197,206,213,238,144,82,58,56,39,44,56,36,29,38,39,35,30
"35",20,14,13,12,13,11,13,19,25,25,30,24,28,21,23,22,15,17,31,59,87,110,114,137
"36",101,74,53,47,43,43,35,20,25,30,40,35,19,18,18,19,18,17,20,27,35,46,58,134
"37",112,85,81,99,107,110,130,166,182,150,26,30,28,23,19,18,17,18,24,29,35,46,52,75
"38",89,86,68,54,50,50,81,123,160,185,148,96,77,73,70,53,43,49,69,82,89,77,68,61
"39",86,133,111,121,184,213,110,74,70,64,55,58,96,45,67,37,49,40,43,66,92,92,94,96
"40",83,186,173,172,150,75,43,29,30,23,26,25,17,14,12,11,12,16,18,23,34,59,70,74
"41",71,51,45,90,65,66,71,66,77,73,68,26,26,26,29,29,29,29,33,42,34,31,31,32
"42",35,35,25,24,27,32,36,49,72,103,94,62,39,38,37,38,36,38,46,57,55,45,31,34
"43",33,29,25,15,17,29,38,46,49,68,94,197,188,119,98,91,101,126,126,120,101,64,63,75
"44",61,51,48,35,32,24,14,12,13,18,24,22,16,16,16,17,17,17,18,17,14,14,13,15
"45",12,10,10,10,12,12,11,10,11,16,16,12,11,9,9,8,8,8,12,15,16,23,39,35
"46",54,70,71,62,27,17,17,18,25,22,32,50,44,33,27,21,15,20,26,28,29,28,32,39
"47",46,41,40,33,31,33,40,41,43,52,34,16,12,12,9,8,8,8,14,21,39,38,22,16
"48",12,10,17,20,27,31,29,34,48,63,58,54,34,17,12,11,13,14,28,34,43,45,32,29
"49",31,38,44,43,41,45,53,57,68,101,87,36,14,13,13,8,5,7,12,18,24,22,25,25
"50",24,26,15,14,17,19,20,18,17,27,37,54,31,26,17,15,14,15,17,23,20,21,22,23
"51",18,14,11,12,15,14,14,14,49,25,17,16,16,17,20,20,23,25,23,35,30,19,16,14
"52",9,6,7,7,7,9,14,15,18,25,33,31,37,38,42,33,26,31,38,58,65,72,72,70
"53",42,34,26,22,25,32,35,37,40,47,56,78,88,110,115,91,78,35,31,38,44,48,48,31
"54",31,37,49,50,53,67,66,48,53,56,37,20,13,10,8,6,7,9,10,19,20,64,64,53
"55",65,91,91,88,88,88,100,133,146,133,84,72,50,25,24,27,27,34,55,60,69,77,52,74
"56",72,57,127,60,14,13,12,12,11,12,16,17,19,19,21,22,24,30,39,46,57,80,107,74
"57",114,108,79,65,61,62,72,95,181,153,70,90,55,41,31,37,35,27,41,70,129,85,74,78
"58",80,87,116,170,146,110,83,74,70,66,53,30,29,30,27,26,30,25,29,34,54,50,36,55
"59",66,81,93,81,72,113,157,177,188,181,124,55,29,19,14,14,23,26,28,30,23,25,26,55
"60",31,35,28,18,13,11,12,21,21,32,35,29,26,22,18,21,21,23,28,36,37,36,31,55
"61",35,60,59,59,58,67,61,43,46,51,49,48,40,37,46,47,50,60,64,75,84,117,130,119
"62",68,63,62,71,81,90,95,102,117,145,184,218,222,139,63,12,8,11,15,20,41,57,59,41
"63",46,56,57,65,60,71,56,58,76,98,109,142,163,155,125,115,113,112,92,90,108,115,111,139
"64",146,155,140,119,117,137,151,165,196,170,159,117,100,88,68,72,72,70,52,49,53,56,47,48
