,year,month,day,maxwind
1,2016,1,1,78
2,2016,1,2,34
3,2016,1,3,36
4,2016,1,4,40
5,2016,1,5,36
6,2016,1,6,28
7,2016,1,7,37
8,2016,1,8,30
9,2016,1,9,42
10,2016,1,10,44
11,2016,1,11,36
12,2016,1,12,33
13,2016,1,13,37
14,2016,1,14,35
15,2016,1,15,34
16,2016,1,16,51
17,2016,1,17,52
18,2016,1,18,48
19,2016,1,19,39
20,2016,1,20,28
21,2016,1,21,39
22,2016,1,22,50
23,2016,1,23,50
24,2016,1,24,45
25,2016,1,25,46
26,2016,1,26,31
27,2016,1,27,60
28,2016,1,28,50
29,2016,1,29,44
30,2016,1,30,48
31,2016,1,31,35
32,2016,2,1,30
33,2016,2,2,27
34,2016,2,3,47
35,2016,2,4,40
36,2016,2,5,38
37,2016,2,6,35
38,2016,2,7,61
39,2016,2,8,37
40,2016,2,9,39
41,2016,2,10,57
42,2016,2,11,55
43,2016,2,12,39
44,2016,2,13,71
45,2016,2,14,76
46,2016,2,15,57
47,2016,2,16,48
48,2016,2,17,85
49,2016,2,18,51
50,2016,2,19,51
51,2016,2,20,65
52,2016,2,21,65
53,2016,2,22,58
54,2016,2,23,49
55,2016,2,24,54
56,2016,2,25,45
57,2016,2,26,50
58,2016,2,27,44
59,2016,2,28,67
60,2016,2,29,58
61,2016,3,1,70
62,2016,3,2,66
63,2016,3,3,43
64,2016,3,4,45
65,2016,3,5,57
66,2016,3,6,37
67,2016,3,7,65
68,2016,3,8,74
69,2016,3,9,52
70,2016,3,10,50
71,2016,3,11,45
72,2016,3,12,79
73,2016,3,13,62
74,2016,3,14,51
75,2016,3,15,84
76,2016,3,16,76
77,2016,3,17,80
78,2016,3,18,51
79,2016,3,19,50
80,2016,3,20,35
81,2016,3,21,69
82,2016,3,22,73
83,2016,3,23,66
84,2016,3,24,53
85,2016,3,25,42
86,2016,3,26,42
87,2016,3,27,43
88,2016,3,28,75
89,2016,3,29,57
90,2016,3,30,41
91,2016,3,31,112
92,2016,4,1,73
93,2016,4,2,44
94,2016,4,3,61
95,2016,4,4,86
96,2016,4,5,61
97,2016,4,6,73
98,2016,4,7,69
99,2016,4,8,111
100,2016,4,9,83
101,2016,4,10,58
102,2016,4,11,42
103,2016,4,12,60
104,2016,4,13,65
105,2016,4,14,43
106,2016,4,15,69
107,2016,4,16,47
108,2016,4,17,55
109,2016,4,18,53
110,2016,4,19,92
111,2016,4,20,57
112,2016,4,21,91
113,2016,4,22,82
114,2016,4,23,66
115,2016,4,24,89
116,2016,4,25,55
117,2016,4,26,53
118,2016,4,27,47
119,2016,4,28,57
120,2016,4,29,61
121,2016,4,30,43
122,2016,5,1,57
123,2016,5,2,65
124,2016,5,3,99
125,2016,5,4,83
126,2016,5,5,63
127,2016,5,6,68
128,2016,5,7,57
129,2016,5,8,91
130,2016,5,9,49
131,2016,5,10,36
132,2016,5,11,94
133,2016,5,12,57
134,2016,5,13,67
135,2016,5,14,56
136,2016,5,15,43
137,2016,5,16,50
138,2016,5,17,101
139,2016,5,18,74
140,2016,5,19,64
141,2016,5,20,71
142,2016,5,21,38
143,2016,5,22,42
144,2016,5,23,45
145,2016,5,24,83
146,2016,5,25,58
147,2016,5,26,58
148,2016,5,27,93
